Time_s,Position_deg,Velocity_degs,Target_deg,Direction,Trigger
7.702035,-188.906,-784.704,0,1,0
7.7050892,-188.455,-682.433,0,1,0
7.7064698,-188.063,-593.491,0,1,0
7.7073779,-190.562,-651.703,0,1,0
7.7081465,-243.041,-1569.48,0,1,0
7.7089978,-283.643,-2423.207,0,1,0
7.7191681,-314.265,-1195.96,0,1,0
7.734377,-368.964,-1710.454,0,1,0
7.74968,-409.842,-2443.197,0,1,0
7.8102273,-429.281,-1464.225,0,1,0
7.8129633,-485.936,-1826.15,0,1,0
7.8146482,-532.267,-2418.814,0,1,0
7.8161344,-557.416,-2233.722,0,1,0
7.8171517,-600.753,-1758.624,0,1,0
7.8283641,-653.25,-2356.139,0,1,0
7.843961,-692.806,-2951.167,0,1,0
7.8589933,-720.249,-1688.345,0,1,0
7.9321624,-764.065,-1962.966,0,1,0
7.9355067,-764.186,-1302.224,0,1,0
7.9374068,-763.319,-1134.562,0,1,0
7.9384989,-762.668,-987.217,0,1,0
7.9395024,-762.102,-858.546,0,1,0
7.9405856,-761.609,-746.65,0,1,0
7.9524398,-761.18,-649.334,0,1,0
7.968039,-760.877,-569.693,0,1,0
7.9837266,-791.598,-1916.934,0,1,0
8.0866418,-818.928,-982.191,0,1,0
8.0882701,-865.413,-1436.324,0,1,0
8.0890009,-909.306,-2382.515,0,1,0
8.0896454,-931.297,-1321.332,0,1,0
8.0902565,-984.482,-1670.014,0,1,0
8.0908958,-1031.192,-2382.534,0,1,0
8.0916649,-1056.896,-2072.669,0,1,0
8.0925714,-1102.133,-1684.769,0,1,0
8.1075558,-1150.141,-2250.735,0,1,0
8.1235602,-1181.936,-2589.445,0,1,0
8.1939907,-1208.724,-1590.917,0,1,0
8.1970481,-1258.901,-2043.683,0,1,0
8.1992257,-1305.917,-3104.989,0,1,0
8.2005112,-1327.613,-1598.701,0,1,0
8.2026122,-1326.945,-1239.084,0,1,0
8.2063874,-1326.19,-1079.385,0,1,0
8.2167907,-1325.571,-938.884,0,1,0
8.2326253,-1325.032,-816.521,0,1,0
8.5391837,-1324.563,-710.092,0,1,0
8.5408989,-1324.155,-617.553,0,1,0
8.541863,-1323.801,-537.062,0,1,0
8.5427439,-1323.493,-467.067,0,1,0
8.5437642,-1323.257,-408.336,0,1,0
8.5451134,-1328.161,-541.071,0,1,0
8.5462041,-1378.501,-1115.077,0,1,0
8.5471435,-1421.759,-1843.069,0,1,0
8.547928,27.544,85425.508,0,1,0
8.5486878,1475.559,20157.738,0,1,0
8.549507,1394.223,10466.015,0,1,0
8.5522047,1351.945,8582.891,0,1,0
8.5539056,1311.445,8153.778,0,1,0
8.55479,1256.091,6398.682,0,1,0
8.5555396,1213.001,4637.958,0,1,0
8.5562156,1188.669,4830.257,0,1,0
8.5569548,1134.594,3628.914,0,1,0
8.5588893,1089.143,2238.504,0,1,0
8.5600032,1060.081,2110.518,0,1,0
8.5608641,1012.951,1809.108,0,1,0
8.5616041,963.894,737.367,0,1,0
8.562398,930.306,10.981,0,1,0
8.5631772,901.146,812.968,0,1,0
8.5728176,900.971,830.767,0,1,0
8.5886927,900.529,718.664,0,1,0
8.6899965,900.116,624.916,0,1,0
8.6927636,899.757,543.48,0,1,0
8.6939013,899.445,472.645,0,1,0
8.6956744,899.174,411.041,0,1,0
8.6985222,898.938,357.469,0,1,0
8.7003766,898.732,310.881,0,1,0
8.7015102,898.554,270.365,0,1,0
8.7024211,892.793,26.387,0,1,0
8.7115389,837.809,-902.064,0,1,0
8.726745,794.165,-1843.946,0,1,0
8.7422781,767.36,-728.508,0,1,0
8.8405812,722.181,-1085.455,0,1,0
8.8435682,677.984,-2012.244,0,1,0
